title,genres,director,actor1,actor2,actor3,comb
the old guard,Action Fantasy,Gina Prince-Bythewood,Charlize Theron,KiKi Layne,Marwan Kenzari,Charlize Theron KiKi Layne Marwan Kenzari Gina Prince-Bythewood Action Fantasy
greyhound,War Action Drama,Aaron Schneider,Tom Hanks,Stephen Graham,Rob Morgan,Tom Hanks Stephen Graham Rob Morgan Aaron Schneider War Action Drama
palm springs,Comedy Romance Fantasy Mystery Science Fiction,Max Barbakow,Andy Samberg,Cristin Milioti,Peter Gallagher,Andy Samberg Cristin Milioti Peter Gallagher Max Barbakow Comedy Romance Fantasy Mystery Science Fiction
fatal affair,Thriller,Peter Sullivan,Rasheeda Garner (screenplay); Nia Long,Omar Epps,Stephen Bishop,Rasheeda Garner (screenplay); Nia Long Omar Epps Stephen Bishop Peter Sullivan Thriller
the silencing,Action Crime Thriller,Robin Pront,Annabelle Wallis,Hero Fiennes-Tiffin,Nikolaj Coster-Waldau,Annabelle Wallis Hero Fiennes-Tiffin Nikolaj Coster-Waldau Robin Pront Action Crime Thriller
a nice girl like you,Comedy Romance,The Brothers Riedell,Lucy Hale,Leonidas Gulaptis,Jackie Cruz,Lucy Hale Leonidas Gulaptis Jackie Cruz The Brothers Riedell Comedy Romance
ghosts of war,Horror Thriller War Fantasy,Eric Bress,Brenton Thwaites,Theo Rossi,Skylar Astin,Brenton Thwaites Theo Rossi Skylar Astin Eric Bress Horror Thriller War Fantasy
animal crackers,Comedy Animation Adventure,"Scott Christian Sava, Tony Bancroft",John Krasinski,Emily Blunt,Ian McKellen,"John Krasinski Emily Blunt Ian McKellen Scott Christian Sava, Tony Bancroft Comedy Animation Adventure"
the kissing booth 2,Comedy Romance,Vince Marcello,Jay Arnold (screenplay); Joey King,Joel Courtney,Jacob Elordi,Jay Arnold (screenplay); Joey King Joel Courtney Jacob Elordi Vince Marcello Comedy Romance
the rental,Horror Thriller,Dave Franco,Joe Swanberg (screenplay); Dan Stevens,Alison Brie,Sheila Vand,Joe Swanberg (screenplay); Dan Stevens Alison Brie Sheila Vand Dave Franco Horror Thriller
deep blue sea 3,Action Horror Science Fiction,John Pogue,Tania Raymonde,Nathaniel Buzolic,Emerson Brooks,Tania Raymonde Nathaniel Buzolic Emerson Brooks John Pogue Action Horror Science Fiction
black is king,Music,"Beyoncé, Emmanuel Adjei, Blitz Bazawule, Ibra Ake, Jenn Nkiru, Jake Nava, Pierre Debusschere, Dikayl Rimmasch",Beyoncé,,,"Beyoncé   Beyoncé, Emmanuel Adjei, Blitz Bazawule, Ibra Ake, Jenn Nkiru, Jake Nava, Pierre Debusschere, Dikayl Rimmasch Music"
the secret: dare to dream,Drama Romance,Andy Tennant,Bekah Brunstetter,Josh Lucas,Jerry O'Connell,Bekah Brunstetter Josh Lucas Jerry O'Connell Andy Tennant Drama Romance
summerland,Drama War Romance,Jessica Swale,Gemma Arterton,Gugu Mbatha-Raw,Penelope Wilton,Gemma Arterton Gugu Mbatha-Raw Penelope Wilton Jessica Swale Drama War Romance
she dies tomorrow,Drama,Amy Seimetz,Kate Lyn Sheil,Jane Adams,Kentucker Audley,Kate Lyn Sheil Jane Adams Kentucker Audley Amy Seimetz Drama
an american pickle,Comedy,Brandon Trost,Seth Rogen,Sarah Snook,,Seth Rogen Sarah Snook  Brandon Trost Comedy
the tax collector,Action Crime Drama,David Ayer,Bobby Soto,Shia LaBeouf,Cinthya Carmona,Bobby Soto Shia LaBeouf Cinthya Carmona David Ayer Action Crime Drama
waiting for the barbarians,Drama,Ciro Guerra,Mark Rylance,Johnny Depp,Robert Pattinson,Mark Rylance Johnny Depp Robert Pattinson Ciro Guerra Drama
project power,Action Crime Science Fiction,"Henry Joost, Ariel Schulman",Jamie Foxx,Joseph Gordon-Levitt,Dominique Fishback,"Jamie Foxx Joseph Gordon-Levitt Dominique Fishback Henry Joost, Ariel Schulman Action Crime Science Fiction"
magic camp,Comedy Family Fantasy,Mark Waters,Adam DeVine,Gillian Jacobs,Jeffrey Tambor,Adam DeVine Gillian Jacobs Jeffrey Tambor Mark Waters Comedy Family Fantasy
boys state,Documentary,"Amanda McBaine, Jesse Moss",,Jesse Moss (directors),," Jesse Moss (directors)  Amanda McBaine, Jesse Moss Documentary"
spree,Comedy Crime Horror Thriller,Eugene Kotlyarenko,Joe Keery,Sasheer Zamata,Mischa Barton,Joe Keery Sasheer Zamata Mischa Barton Eugene Kotlyarenko Comedy Crime Horror Thriller
the one and only ivan,Family Comedy Drama,Thea Sharrock,Sam Rockwell,Angelina Jolie,Danny DeVito,Sam Rockwell Angelina Jolie Danny DeVito Thea Sharrock Family Comedy Drama
unhinged,Action Thriller,Derrick Borte,Russell Crowe,Caren Pistorius,Gabriel Bateman,Russell Crowe Caren Pistorius Gabriel Bateman Derrick Borte Action Thriller
tesla,History Drama,Michael Almereyda,Ethan Hawke,Eve Hewson,Ebon Moss-Bachrach,Ethan Hawke Eve Hewson Ebon Moss-Bachrach Michael Almereyda History Drama
